,product,category,brand,mrp,sp,discount,sku,description,url
221,foodgrains-oil-masala,Raw Rice,bb Combo,320.00,236.00,26,1200452,Bb Royal Idli Rice 1Kg + Dosa Rice 1Kg + Whole/Gota Urad 1Kg,/pd/1200452/bb-combo-bb-royal-idli-rice-1kg-dosa-rice-1kg-wholegota-urad-1kg-combo/
222,foodgrains-oil-masala,Raw Rice,bb Combo,320.00,250.00,22,1200050,bb Royal Idli Rice + Urad Dal + Dosa Rice (Each 1kg),/pd/1200050/bb-combo-bb-royal-idli-rice-urad-dal-dosa-rice-each-1kg-combo/
223,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Royal,465.00,353.00,24,1203903,Moong Dal 1 kg + Channa Dal 1 kg + Urad Dal - Split 500 gm,/pd/1203903/bb-royal-moong-dal-1-kg-channa-dal-1-kg-urad-dal-split-500-gm-combo/
224,foodgrains-oil-masala,"Toor, Channa & Moong Dal",bb Combo,355.00,256.00,28,1200062,bb Royal Kabuli Channa + White Rajma + White Lobia + White Peas (Each 500g),/pd/1200062/bb-combo-bb-royal-kabuli-channa-white-rajma-white-lobia-white-peas-each-500g-combo/
225,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,199.00,165.00,17,40135861,"Organic - Urad Dal White (Split), Unpolished",/pd/40135861/bb-royal-organic-urad-dal-white-split-unpolished-1-kg/
226,foodgrains-oil-masala,Cereals & Millets,Nutrela,45.00,45.00,,261822,Soya - Mini Chunk,/pd/261822/nutrela-soya-mini-chunk-200-g-carton/
227,foodgrains-oil-masala,Cereals & Millets,Nutrela,45.00,45.00,,40003518,Soya - Chunks,/pd/40003518/nutrela-soya-chunks-200-g-carton/
228,foodgrains-oil-masala,Urad & Other Dals,bb Royal,80.00,80.00,,10000438,Red Lobia,/pd/10000438/bb-royal-red-lobia-500-g-pouch/
229,foodgrains-oil-masala,"Organic Rice, Other Rice",bb Royal,275.00,229.00,17,40168528,Organic Little Millet/Samai Rice,/pd/40168528/bb-royal-organic-little-milletsamai-rice-2-kg/
230,foodgrains-oil-masala,Raw Rice,bb Combo,250.00,245.00,5,1200453,Bb Royal Bengali Govinda Bhog Rice 1Kg + Bengali Sona Masoor Dal 500Gm,/pd/1200453/bb-combo-bb-royal-bengali-govinda-bhog-rice-1kg-bengali-sona-masoor-dal-500gm-combo/
231,foodgrains-oil-masala,Urad & Other Dals,Tata Sampann,130.00,130.00,,30002286,"Masoor Dal - Whole, Unpolished",/pd/30002286/tata-sampann-masoor-dal-whole-unpolished-1-kg-pouch/
232,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,110.00,84.00,24,40072456,Organic Rajma Chitra,/pd/40072456/bb-royal-organic-rajma-chitra-500-g/
233,foodgrains-oil-masala,Urad & Other Dals,bb Royal,130.00,130.00,,40031629,Bengali Sona Masoor Dal,/pd/40031629/bb-royal-bengali-sona-masoor-dal-500-g-pouch/
234,foodgrains-oil-masala,Cereals & Millets,Nutrela,150.00,150.00,,257382,Soya - Chunks,/pd/257382/nutrela-soya-chunks-1-kg-pouch/
235,foodgrains-oil-masala,Urad & Other Dals,bb Royal,110.00,81.00,26,60000724,Unpolish - Urad Dal/Split,/pd/60000724/bb-royal-unpolish-urad-dalsplit-500-g-pouch/
236,foodgrains-oil-masala,Organic Dals & Pulses,bb Royal,99.00,97.00,2,40077485,Organic - Green Peas,/pd/40077485/bb-royal-organic-green-peas-500-g/
237,foodgrains-oil-masala,Urad & Other Dals,bb Popular,85.00,85.00,,40085070,Rajma Red Desi,/pd/40085070/bb-popular-rajma-red-desi-500-g/
238,foodgrains-oil-masala,"Organic Rice, Other Rice",bb Royal,38.00,34.00,11,40077492,Organic - Bajra Wild / Pearl Millet,/pd/40077492/bb-royal-organic-bajra-wild-pearl-millet-500-g/
239,foodgrains-oil-masala,Cereals & Millets,bb Royal,35.00,34.00,3,40056535,Mini Soya Chunks,/pd/40056535/bb-royal-mini-soya-chunks-200-g/
240,foodgrains-oil-masala,Urad & Other Dals,Super Saver,65.00,42.00,35,40159932,Kashmiri Rajma,/pd/40159932/super-saver-kashmiri-rajma-500-g/
241,foodgrains-oil-masala,Urad & Other Dals,bb Royal,110.00,110.00,,10000483,"Beans - Double, Red",/pd/10000483/bb-royal-beans-double-red-200-g-pouch/
242,foodgrains-oil-masala,Cereals & Millets,Fortune ,45.00,45.00,,40019481,Soya Chunks,/pd/40019481/fortune-soya-chunks-200-g-carton/
243,foodgrains-oil-masala,Urad & Other Dals,bb Royal,100.00,88.00,12,40065220,Bellar Dal - Split (Avarebele),/pd/40065220/bb-royal-bellar-dal-split-avarebele-500-g/
244,foodgrains-oil-masala,Cereals & Millets,PRISTINE,239.00,231.83,7,40014748,Fields Of Gold - Black Rice,/pd/40014748/pristine-fields-of-gold-black-rice-1-kg/
245,foodgrains-oil-masala,Cereals & Millets,PRISTINE,99.00,96.03,3,40014750,Fields Of Gold - Red Rice,/pd/40014750/pristine-fields-of-gold-red-rice-1-kg/
246,foodgrains-oil-masala,Cereals & Millets,PRISTINE,65.00,63.05,3,40175059,Fields Of Gold Organic Foxtail Millet,/pd/40175059/pristine-fields-of-gold-organic-foxtail-millet-500-g/
247,foodgrains-oil-masala,Cereals & Millets,PRISTINE,102.00,98.94,3,40014749,Fields Of Gold - Rajamudi Rice,/pd/40014749/pristine-fields-of-gold-rajamudi-rice-1-kg/
